hub_id,hub_name,signal_innovation,signal_student_events,signal_meetups,signal_cultural,highlight_1,highlight_1_source,highlight_2,highlight_2_source,notes,source_id,access_date
hub-harvard-square,Harvard Square,strong,strong,strong,strong,NAIA Lounge Hours,MIT Events iCal (engage.mit.edu),2 curated Greater Boston meetup communities linked,Meetup group registry (documented slugs),"Signals: MIT iCal (97 matches), OSM POIs (social=143, coworking=2), meetup registry (2 groups). Enriched with documented public directory floors. Quartile mapping across 22 corridors.",SRC-MIT-ENGAGE-ICAL+SRC-OSM-OVERPASS+SRC-ENRICHMENT,2026-05-22
hub-kendall-mit,Kendall / MIT,strong,strong,strong,strong,NAIA Lounge Hours,MIT Events iCal (engage.mit.edu),4 curated Greater Boston meetup communities linked,Meetup group registry (documented slugs),"Signals: MIT iCal (285 matches), OSM POIs (social=33, coworking=5), meetup registry (4 groups). Enriched with documented public directory floors. Quartile mapping across 22 corridors.",SRC-MIT-ENGAGE-ICAL+SRC-OSM-OVERPASS+SRC-ENRICHMENT,2026-05-22
hub-cambridge-central,Cambridge Central,strong,strong,strong,strong,NAIA Lounge Hours,MIT Events iCal (engage.mit.edu),2 curated Greater Boston meetup communities linked,Meetup group registry (documented slugs),"Signals: MIT iCal (96 matches), OSM POIs (social=54, coworking=2), meetup registry (2 groups). Enriched with documented public directory floors. Quartile mapping across 22 corridors.",SRC-MIT-ENGAGE-ICAL+SRC-OSM-OVERPASS+SRC-ENRICHMENT,2026-05-22
hub-porter-square,Porter Square,active,strong,active,moderate,29 mapped cafes & restaurants in corridor,OpenStreetMap Overpass API,1 coworking & shared offices (OSM + public directories),Innovation/coworking directory supplements,"Signals: MIT iCal (30 matches), OSM POIs (social=29, coworking=1), meetup registry (1 groups). Enriched with documented public directory floors. Quartile mapping across 22 corridors.",SRC-MIT-ENGAGE-ICAL+SRC-OSM-OVERPASS+SRC-ENRICHMENT,2026-05-22
hub-fenway-kenmore,Fenway–Kenmore,active,strong,active,strong,MIT Concert Band - May 2026 Concert,MIT Events iCal (engage.mit.edu),Tang Hall Night at the Red Sox,MIT Events iCal,"Signals: MIT iCal (3 matches), OSM POIs (social=200, coworking=1), meetup registry (1 groups). Enriched with documented public directory floors. Quartile mapping across 22 corridors.",SRC-MIT-ENGAGE-ICAL+SRC-OSM-OVERPASS+SRC-ENRICHMENT,2026-05-22
hub-longwood,Longwood Medical,active,strong,active,low,23 mapped cafes & restaurants in corridor,OpenStreetMap Overpass API,1 coworking & shared offices (OSM + public directories),Innovation/coworking directory supplements,"Signals: MIT iCal (1 matches), OSM POIs (social=23, coworking=1), meetup registry (0 groups). Enriched with documented public directory floors. Quartile mapping across 22 corridors.",SRC-MIT-ENGAGE-ICAL+SRC-OSM-OVERPASS+SRC-ENRICHMENT,2026-05-22
hub-mission-hill,Mission Hill,active,strong,active,low,22 mapped cafes & restaurants in corridor,OpenStreetMap Overpass API,1 coworking & shared offices (OSM + public directories),Innovation/coworking directory supplements,"Signals: MIT iCal (1 matches), OSM POIs (social=22, coworking=1), meetup registry (0 groups). Enriched with documented public directory floors. Quartile mapping across 22 corridors.",SRC-MIT-ENGAGE-ICAL+SRC-OSM-OVERPASS+SRC-ENRICHMENT,2026-05-22
hub-allston-bu,Allston / BU West,strong,strong,strong,strong,223 mapped cafes & restaurants in corridor,OpenStreetMap Overpass API,2 coworking & shared offices (OSM + public directories),Innovation/coworking directory supplements,"Signals: MIT iCal (1 matches), OSM POIs (social=223, coworking=2), meetup registry (1 groups). Enriched with documented public directory floors. Quartile mapping across 22 corridors.",SRC-MIT-ENGAGE-ICAL+SRC-OSM-OVERPASS+SRC-ENRICHMENT,2026-05-22
hub-brighton,Brighton,moderate,active,moderate,active,120 mapped cafes & restaurants in corridor,OpenStreetMap Overpass API,0 bookstores & library POIs (OSM),OpenStreetMap + cultural venue references,"Signals: MIT iCal (0 matches), OSM POIs (social=120, coworking=0), meetup registry (0 groups). Enriched with documented public directory floors. Quartile mapping across 22 corridors.",SRC-MIT-ENGAGE-ICAL+SRC-OSM-OVERPASS+SRC-ENRICHMENT,2026-05-22
hub-back-bay,Back Bay,strong,strong,strong,strong,MIT Concert Band - May 2026 Concert,MIT Events iCal (engage.mit.edu),2 curated Greater Boston meetup communities linked,Meetup group registry (documented slugs),"Signals: MIT iCal (2 matches), OSM POIs (social=199, coworking=5), meetup registry (2 groups). Enriched with documented public directory floors. Quartile mapping across 22 corridors.",SRC-MIT-ENGAGE-ICAL+SRC-OSM-OVERPASS+SRC-ENRICHMENT,2026-05-22
hub-downtown-crossing,Downtown Crossing,strong,active,strong,strong,380 mapped cafes & restaurants in corridor,OpenStreetMap Overpass API,4 coworking & shared offices (OSM + public directories),Innovation/coworking directory supplements,"Signals: MIT iCal (0 matches), OSM POIs (social=380, coworking=4), meetup registry (4 groups). Enriched with documented public directory floors. Quartile mapping across 22 corridors.",SRC-MIT-ENGAGE-ICAL+SRC-OSM-OVERPASS+SRC-ENRICHMENT,2026-05-22
hub-beacon-hill,Beacon Hill,moderate,active,moderate,moderate,70 mapped cafes & restaurants in corridor,OpenStreetMap Overpass API,3 bookstores & library POIs (OSM),OpenStreetMap + cultural venue references,"Signals: MIT iCal (0 matches), OSM POIs (social=70, coworking=0), meetup registry (0 groups). Enriched with documented public directory floors. Quartile mapping across 22 corridors.",SRC-MIT-ENGAGE-ICAL+SRC-OSM-OVERPASS+SRC-ENRICHMENT,2026-05-22
hub-chinatown,Chinatown,moderate,active,moderate,active,84 mapped cafes & restaurants in corridor,OpenStreetMap Overpass API,1 bookstores & library POIs (OSM),OpenStreetMap + cultural venue references,"Signals: MIT iCal (0 matches), OSM POIs (social=84, coworking=0), meetup registry (0 groups). Enriched with documented public directory floors. Quartile mapping across 22 corridors.",SRC-MIT-ENGAGE-ICAL+SRC-OSM-OVERPASS+SRC-ENRICHMENT,2026-05-22
hub-south-end,South End,active,active,active,active,82 mapped cafes & restaurants in corridor,OpenStreetMap Overpass API,1 coworking & shared offices (OSM + public directories),Innovation/coworking directory supplements,"Signals: MIT iCal (0 matches), OSM POIs (social=82, coworking=1), meetup registry (1 groups). Enriched with documented public directory floors. Quartile mapping across 22 corridors.",SRC-MIT-ENGAGE-ICAL+SRC-OSM-OVERPASS+SRC-ENRICHMENT,2026-05-22
hub-charlestown,Charlestown,active,active,active,low,30 mapped cafes & restaurants in corridor,OpenStreetMap Overpass API,1 coworking & shared offices (OSM + public directories),Innovation/coworking directory supplements,"Signals: MIT iCal (0 matches), OSM POIs (social=30, coworking=1), meetup registry (0 groups). Enriched with documented public directory floors. Quartile mapping across 22 corridors.",SRC-MIT-ENGAGE-ICAL+SRC-OSM-OVERPASS+SRC-ENRICHMENT,2026-05-22
hub-seaport,Seaport,strong,active,strong,active,111 mapped cafes & restaurants in corridor,OpenStreetMap Overpass API,3 coworking & shared offices (OSM + public directories),Innovation/coworking directory supplements,"Signals: MIT iCal (0 matches), OSM POIs (social=111, coworking=3), meetup registry (3 groups). Enriched with documented public directory floors. Quartile mapping across 22 corridors.",SRC-MIT-ENGAGE-ICAL+SRC-OSM-OVERPASS+SRC-ENRICHMENT,2026-05-22
hub-bay-village,Bay Village,active,active,active,low,12 mapped cafes & restaurants in corridor,OpenStreetMap Overpass API,1 coworking & shared offices (OSM + public directories),Innovation/coworking directory supplements,"Signals: MIT iCal (0 matches), OSM POIs (social=12, coworking=1), meetup registry (0 groups). Enriched with documented public directory floors. Quartile mapping across 22 corridors.",SRC-MIT-ENGAGE-ICAL+SRC-OSM-OVERPASS+SRC-ENRICHMENT,2026-05-22
hub-west-end,West End,active,active,active,moderate,35 mapped cafes & restaurants in corridor,OpenStreetMap Overpass API,1 coworking & shared offices (OSM + public directories),Innovation/coworking directory supplements,"Signals: MIT iCal (0 matches), OSM POIs (social=35, coworking=1), meetup registry (0 groups). Enriched with documented public directory floors. Quartile mapping across 22 corridors.",SRC-MIT-ENGAGE-ICAL+SRC-OSM-OVERPASS+SRC-ENRICHMENT,2026-05-22
hub-columbia-point,Columbia Point,moderate,active,moderate,moderate,57 mapped cafes & restaurants in corridor,OpenStreetMap Overpass API,3 bookstores & library POIs (OSM),OpenStreetMap + cultural venue references,"Signals: MIT iCal (0 matches), OSM POIs (social=57, coworking=0), meetup registry (0 groups). Enriched with documented public directory floors. Quartile mapping across 22 corridors.",SRC-MIT-ENGAGE-ICAL+SRC-OSM-OVERPASS+SRC-ENRICHMENT,2026-05-22
hub-south-boston,South Boston,moderate,strong,moderate,active,If Life Were a Musical - CCCS choir singing,MIT Events iCal (engage.mit.edu),76 mapped cafes & restaurants (OSM),OpenStreetMap Overpass API,"Signals: MIT iCal (1 matches), OSM POIs (social=76, coworking=0), meetup registry (0 groups). Enriched with documented public directory floors. Quartile mapping across 22 corridors.",SRC-MIT-ENGAGE-ICAL+SRC-OSM-OVERPASS+SRC-ENRICHMENT,2026-05-22
hub-jamaica-plain,Jamaica Plain,active,active,active,moderate,67 mapped cafes & restaurants in corridor,OpenStreetMap Overpass API,1 coworking & shared offices (OSM + public directories),Innovation/coworking directory supplements,"Signals: MIT iCal (0 matches), OSM POIs (social=67, coworking=1), meetup registry (0 groups). Enriched with documented public directory floors. Quartile mapping across 22 corridors.",SRC-MIT-ENGAGE-ICAL+SRC-OSM-OVERPASS+SRC-ENRICHMENT,2026-05-22
hub-north-end,North End,moderate,active,moderate,moderate,70 mapped cafes & restaurants in corridor,OpenStreetMap Overpass API,1 bookstores & library POIs (OSM),OpenStreetMap + cultural venue references,"Signals: MIT iCal (0 matches), OSM POIs (social=70, coworking=0), meetup registry (0 groups). Enriched with documented public directory floors. Quartile mapping across 22 corridors.",SRC-MIT-ENGAGE-ICAL+SRC-OSM-OVERPASS+SRC-ENRICHMENT,2026-05-22
